,着順,枠番,馬番,馬名,性齢,斤量,騎手,上り,単勝,人気,調教師,馬主,rank_0,rank_1,second,first_half,weight,diff
235,10,8,16,グランプリエンゼル,牝5,54.0,藤岡佑介,32.7,36.2,11.0,[西] 矢作芳人,北側雅司,16,16,68.8,36.099999999999994,452,8
236,11,6,12,ファイングレイン,牡8,57.0,幸英明,33.0,55.1,13.0,[西] 長浜博之,社台レースホース,15,15,69.0,36.0,498,1
237,12,8,15,アーバンストリート,牡7,55.0,Ｍデムー,33.3,28.4,8.0,[西] 野村彰彦,佐藤幸彦,14,14,69.1,35.8,458,4
238,13,6,11,ウエスタンビーナス,牝8,54.0,吉田稔,34.2,278.6,16.0,[東] 鈴木康弘,西川賢,2,2,69.1,34.89999999999999,468,-2
239,14,5,10,ウエスタンダンサー,牝7,52.0,川田将雅,34.1,193.8,15.0,[西] 崎山博樹,西川賢,6,6,69.3,35.199999999999996,504,2
240,15,3,5,ティファニーケイス,牝4,52.0,津村明秀,34.6,32.8,9.0,[西] 藤岡健一,辻牧場,1,1,69.4,34.800000000000004,480,4
241,16,2,4,ショウナンカザン,牡6,57.0,小牧太,34.4,18.1,7.0,[東] 本間忍,国本哲秀,6,9,69.7,35.300000000000004,496,6
242,1,4,7,ロードカナロア,牡4,57.0,福永祐一,33.6,1.4,1.0,[西] 安田隆行,ロードホースクラブ,9,9,68.3,34.699999999999996,500,2
243,2,7,13,エーシンダックマン,牡5,57.0,川田将雅,34.6,8.1,2.0,[西] 坂口正則,栄進堂,1,1,68.7,34.1,500,4
244,3,5,10,ケンブリッジエル,牡6,53.0,和田竜二,33.7,263.1,16.0,[西] 山内研二,中西宏彰,12,12,68.7,35.0,510,0
245,4,8,15,ツルマルレオン,牡4,55.0,四位洋文,33.6,120.6,12.0,[西] 橋口弘次,鶴田鈴子,14,14,68.7,35.1,522,12
246,5,7,14,グランプリエンゼル,牝6,54.0,藤岡佑介,34.1,19.4,5.0,[西] 矢作芳人,北側雅司,5,6,68.7,34.6,464,10
247,6,3,5,キョウワマグナム,牡5,55.0,小牧太,34.2,32.8,7.0,[西] 鶴留明雄,協和牧場,5,7,68.8,34.599999999999994,558,-4
248,7,6,12,スペシャルハート,牡7,54.0,浜中俊,33.8,149.8,14.0,[東] 勢司和浩,芹澤精一,12,12,68.8,35.0,494,-8
249,8,2,4,マジンプロスパー,牡5,55.0,岩田康誠,34.4,32.2,6.0,[西] 中尾秀正,佐々木主浩,4,3,68.8,34.4,514,6
250,9,1,2,スギノエンデバー,牡4,55.0,池添謙一,34.0,55.2,9.0,[西] 浅見秀一,杉山美惠,11,11,68.9,34.900000000000006,448,-2
251,10,1,1,サンダルフォン,牡9,57.5,酒井学,33.6,42.3,8.0,[西] 松永幹夫,ノースヒルズ,16,16,69.0,35.4,550,8
252,11,3,6,ダイワナイト,牡5,54.0,武豊,33.9,98.3,10.0,[東] 池上昌弘,大城敬三,14,14,69.1,35.199999999999996,530,10
253,12,5,9,ヘッドライナー,セ8,58.0,幸英明,34.9,110.9,11.0,[西] 西園正都,社台レースホース,2,2,69.2,34.300000000000004,512,20
254,13,6,11,アウトクラトール,牡7,56.0,藤岡康太,34.5,170.7,15.0,[西] 宮徹,社台レースホース,9,9,69.3,34.8,496,12
255,14,8,16,アポロフェニックス,牡7,56.0,藤田伸二,35.4,122.2,13.0,[東] 柴崎勇,アポロサラブレッドクラブ,2,3,69.7,34.300000000000004,496,8
256,15,2,3,エーシンヴァーゴウ,牝5,56.5,田辺裕信,35.2,9.4,3.0,[西] 小崎憲,栄進堂,5,7,69.8,34.599999999999994,470,8
257,16,4,8,ダノンフェアリー,牡4,55.0,ルメール,35.4,12.6,4.0,[西] 角居勝彦,ダノックス,5,5,69.9,34.50000000000001,518,0
258,1,2,4,ドリームバレンチノ,牡6,58.0,松山弘平,33.3,5.4,2.0,[西] 加用正,セゾンレースホース,4,4,68.6,35.3,494,10
259,2,8,16,ダッシャーゴーゴー,牡6,59.0,川田将雅,33.3,7.1,4.0,[西] 安田隆行,芦田信,4,4,68.6,35.3,542,12
260,3,4,8,メイショウデイム,牝6,53.0,国分恭介,33.3,22.5,11.0,[西] 佐山優,松本和子,4,4,68.6,35.3,472,2
261,4,7,14,マジンプロスパー,牡6,58.0,福永祐一,33.5,11.6,6.0,[西] 中尾秀正,佐々木主浩,3,3,68.7,35.2,522,6
262,5,5,9,レジェトウショウ,牝7,52.0,秋山真一,33.4,171.2,15.0,[東] 土田稔,トウショウ産業,7,7,68.8,35.4,486,2
263,6,7,13,エーシンホワイティ,牡6,56.0,小牧太,33.0,10.1,5.0,[西] 松元茂樹,栄進堂,11,11,68.8,35.8,508,-2
264,7,3,6,スギノエンデバー,牡5,57.0,北村友一,32.7,12.0,7.0,[西] 浅見秀一,杉山美惠,16,14,68.8,36.099999999999994,462,6
265,8,5,10,アースソニック,牡4,54.0,太宰啓介,33.3,16.4,9.0,[西] 中竹和也,前田幸治,7,8,68.8,35.5,482,2
266,9,4,7,ニシノビークイック,牡4,54.0,丹内祐次,33.2,17.5,10.0,[西] 河内洋,西山茂行,11,11,68.9,35.7,488,4
267,10,1,2,キングレオポルド,牡6,54.0,浜中俊,33.3,48.7,13.0,[東] 堀宣行,里見治,9,8,68.9,35.60000000000001,516,-2
268,11,6,12,ケイアイアストン,牡8,55.0,武豊,33.8,130.6,14.0,[東] 和田正道,亀田和弘,2,2,68.9,35.10000000000001,490,8
269,12,6,11,シゲルスダチ,牡4,55.0,酒井学,32.9,48.2,12.0,[西] 西園正都,森中蕃,14,14,68.9,36.00000000000001,436,2
270,13,1,1,アフォード,牡5,54.0,村田一誠,33.6,12.8,8.0,[西] 北出成人,前田幸治,9,8,69.1,35.49999999999999,474,12
271,14,3,5,サドンストーム,牡4,56.0,池添謙一,33.3,5.8,3.0,[西] 西浦勝一,Ｈ．Ｈ．シェイク・ハムダン,13,13,69.2,35.900000000000006,478,0
272,15,2,3,アイラブリリ,牝4,53.0,幸英明,34.4,5.2,1.0,[西] 福島信晴,杉元四男,1,1,69.4,35.00000000000001,436,0
273,16,8,15,ルナキッズ,牡7,54.0,国分優作,34.0,237.7,16.0,[西] 田所秀孝,畑清介,14,16,70.1,36.099999999999994,474,4
274,1,1,2,ストレイトガール,牝5,55.0,岩田康誠,33.0,5.2,2.0,[西] 藤原英昭,廣崎利洋,5,2,67.4,34.400000000000006,452,6
275,2,1,1,レディオブオペラ,牝4,55.0,藤田伸二,33.7,1.6,1.0,[西] 白井寿昭,Ｈ．Ｈ．シェイク・モハメド,1,1,67.8,34.099999999999994,478,-14
276,3,3,6,リトルゲルダ,牝5,53.0,菱田裕二,33.3,143.2,13.0,[西] 鮫島一歩,栗山良子,7,6,67.8,34.5,486,4
277,4,5,9,マジンプロスパー,牡7,58.5,Ｃ．デム,34.0,16.3,5.0,[西] 中尾秀正,佐々木主浩,2,2,68.2,34.2,518,8
278,5,4,7,ワキノブレイブ,牡4,54.0,吉田隼人,33.7,86.3,10.0,[西] 清水久詞,脇山良之,7,8,68.2,34.5,486,2
279,6,2,3,プレイズエターナル,牡4,55.0,浜中俊,33.7,7.1,3.0,[西] 安田隆行,Ｈ．Ｈ．シェイク・モハメド,11,9,68.3,34.599999999999994,484,10
280,7,5,10,サイレントソニック,牝6,53.0,武豊,33.4,30.8,6.0,[東] 国枝栄,細谷典幸,15,14,68.3,34.9,458,-2
281,8,6,12,アフォード,牡6,56.0,中舘英二,34.2,33.4,7.0,[西] 北出成人,前田幸治,2,5,68.5,34.3,468,-2
282,9,3,5,プリンセスメモリー,牝7,54.0,後藤浩輝,33.9,115.2,12.0,[東] 高橋義博,海谷幸司,13,12,68.6,34.699999999999996,412,6
283,10,7,13,スギノエンデバー,牡6,57.0,川須栄彦,33.9,40.1,8.0,[西] 浅見秀一,杉山忠国,11,14,68.6,34.699999999999996,470,10
284,11,6,11,レオンビスティー,牡5,55.0,バルジュ,34.7,16.0,4.0,[西] 矢作芳人,備前島敏子,2,2,68.9,34.2,502,2
285,12,2,4,シュプリームギフト,牝6,54.0,秋山真一,34.3,105.5,11.0,[西] 須貝尚介,サンデーレーシング,13,12,69.0,34.7,464,-2
286,13,7,14,ケイアイアストン,牡9,54.0,小牧太,34.6,563.0,15.0,[東] 和田正道,亀田和弘,5,6,69.0,34.4,480,2
287,14,8,15,ラインブラッド,牡8,54.0,松田大作,34.0,675.2,16.0,[西] 領家政蔵,大澤繁昌,15,16,69.0,35.0,512,-4
288,15,4,8,ザッハトルテ,牝7,51.0,松山弘平,34.4,264.9,14.0,[西] 牧田和弥,永田和彦,7,9,69.0,34.6,446,4
289,16,8,16,テイエムオオタカ,牡6,56.0,和田竜二,34.5,55.0,9.0,[東] 石栗龍彦,竹園正繼,7,9,69.1,34.599999999999994,500,-2
290,1,2,3,アンバルブライベン,牝6,55.5,田中健,34.0,4.4,2.0,[西] 福島信晴,伊藤信之,2,1,67.9,33.900000000000006,454,-4
291,2,1,2,サドンストーム,牡6,56.0,国分優作,33.3,6.7,3.0,[西] 西浦勝一,Ｈ．Ｈ．シェイク・モハメド,13,11,68.0,34.7,484,-2
292,3,8,15,セイコーライコウ,牡8,57.0,藤岡康太,33.1,36.7,12.0,[東] 鈴木康弘,竹國美枝子,17,14,68.1,34.99999999999999,506,8
293,4,4,7,ベステゲシェンク,牡5,54.0,川田将雅,33.3,10.7,4.0,[東] 古賀慎明,吉田勝己,13,14,68.1,34.8,472,4
294,5,2,4,バクシンテイオー,牡6,54.0,シュタル,33.8,12.3,6.0,[東] 堀宣行,林正道,9,6,68.2,34.400000000000006,466,6
295,6,3,6,ブルーストーン,牝4,51.0,川島信二,33.9,76.9,16.0,[東] 伊藤圭三,Ｈ．Ｈ．シェイク・モハメド,6,6,68.2,34.300000000000004,460,-8
296,7,1,1,ヘニーハウンド,牡7,56.0,浜中俊,34.3,18.9,9.0,[西] 吉村圭司,林正道,4,3,68.4,34.10000000000001,512,6
297,8,6,12,スギノエンデバー,牡7,56.0,幸英明,33.7,93.1,17.0,[西] 浅見秀一,杉山忠国,16,16,68.6,34.89999999999999,476,18
298,9,5,9,エイシンブルズアイ,牡4,56.0,秋山真一,34.3,3.9,1.0,[西] 野中賢二,栄進堂,8,9,68.7,34.400000000000006,468,4
299,10,6,11,ルナフォンターナ,牝6,54.0,岩田康誠,34.1,14.3,7.0,[西] 池江泰寿,Ｈ．Ｈ．シェイク・モハメド,12,12,68.8,34.699999999999996,472,0
300,11,5,10,マジンプロスパー,牡8,58.0,北村友一,34.8,66.0,14.0,[西] 中尾秀正,佐々木主浩,4,3,68.9,34.10000000000001,526,14
301,12,7,14,ベルカント,牝4,54.0,藤岡佑介,35.2,11.5,5.0,[西] 角田晃一,前田幸治,3,3,69.2,34.0,484,2
302,13,8,16,カオスモス,牡5,56.0,池添謙一,35.1,18.1,8.0,[西] 森秀行,小田吉男,6,6,69.3,34.199999999999996,518,2
303,14,7,13,ホウライアキコ,牝4,53.0,和田竜二,34.8,21.0,10.0,[西] 南井克巳,小林茂行,9,9,69.3,34.5,456,0
304,15,8,17,メイショウツガル,牡7,54.0,古川吉洋,34.6,60.6,13.0,[西] 武田博,松本好雄,13,16,69.4,34.800000000000004,488,14
305,16,3,5,ワキノブレイブ,牡5,56.0,四位洋文,34.8,23.8,11.0,[西] 清水久詞,脇山良之,9,12,69.4,34.60000000000001,502,8
306,17,4,8,ニザエモン,牡7,54.0,松山弘平,35.6,72.2,15.0,[西] 佐々木晶,小田切有一,1,2,69.5,33.9,466,-6
307,1,1,1,ダンスディレクター,牡6,57.0,浜中俊,33.3,4.4,2.0,[西] 笹田和秀,太田珠々子,5,3,67.9,34.60000000000001,444,0
308,2,4,8,ローレルベローチェ,牡5,56.0,中井裕二,34.4,11.9,5.0,[西] 飯田雄三,ローレルレーシング,1,1,68.1,33.699999999999996,508,4
309,3,4,7,ワキノブレイブ,牡6,55.0,小牧太,33.7,90.9,11.0,[西] 清水久詞,脇山良之,5,6,68.4,34.7,492,-6
310,4,3,6,セカンドテーブル,牡4,54.0,水口優也,34.1,68.3,10.0,[西] 崎山博樹,山上和良,2,2,68.4,34.300000000000004,470,2
311,5,8,16,ビッグアーサー,牡5,57.0,Ｍ．デム,33.4,2.1,1.0,[西] 藤岡健一,中辻明,9,10,68.5,35.1,524,2
312,6,3,5,サトノルパン,牡5,57.5,和田竜二,33.6,8.2,4.0,[西] 村山明,里見治,7,7,68.5,34.9,452,0
313,7,5,9,ヒルノデイバロー,牡5,54.0,岩田康誠,32.6,23.1,7.0,[西] 昆貢,ヒルノ,16,16,68.6,35.99999999999999,520,2
314,8,2,4,ヤマニンプチガトー,牝7,51.0,村田一誠,33.5,95.2,12.0,[西] 木原一良,土井肇,11,11,68.7,35.2,492,2
315,9,8,15,ネロ,牡5,57.0,内田博幸,34.3,7.9,3.0,[西] 森秀行,西山茂行,4,3,68.8,34.5,476,6
316,10,2,3,リトルゲルダ,牝7,54.0,松山弘平,33.9,43.8,9.0,[西] 鮫島一歩,栗山良子,9,7,68.8,34.9,504,4
317,11,6,11,アースソニック,牡7,57.0,川田将雅,33.6,16.5,6.0,[西] 中竹和也,前田幸治,11,12,68.9,35.300000000000004,498,4
318,12,1,2,メイショウツガル,牡8,53.0,鮫島良太,33.6,335.5,16.0,[西] 武田博,松本好雄,13,14,69.0,35.4,470,-2
319,13,6,12,ヤサカオディール,牝7,51.0,小崎綾也,33.4,297.7,15.0,[東] 水野貴広,志邑宣彦,15,15,69.0,35.6,460,6
320,14,7,13,ニンジャ,牡7,53.0,古川吉洋,33.8,121.2,13.0,[西] 宮徹,ロイヤルパーク,13,12,69.2,35.400000000000006,476,0
321,15,7,14,セイコーライコウ,牡9,56.0,秋山真一,34.6,159.6,14.0,[東] 竹内正洋,竹國美枝子,7,7,69.4,34.800000000000004,490,-2
322,16,5,10,アクティブミノル,牡4,56.0,武豊,35.3,23.7,8.0,[西] 北出成人,吉岡實,3,3,69.8,34.5,484,-4
323,1,5,7,ダンスディレクター,牡7,57.5,武豊,33.1,6.7,3.0,[西] 笹田和秀,太田珠々子,10,9,67.8,34.699999999999996,442,-4
324,2,7,11,セイウンコウセイ,牡4,55.0,松田大作,33.6,7.0,4.0,[東] 上原博之,西山茂行,3,3,67.8,34.199999999999996,500,6
325,3,6,9,セカンドテーブル,牡5,56.0,水口優也,33.9,18.6,7.0,[西] 崎山博樹,山上和良,3,3,68.0,34.1,486,2
326,4,4,4,ヒルノデイバロー,牡6,54.0,四位洋文,33.3,23.6,8.0,[西] 昆貢,ヒルノ,13,12,68.1,34.8,524,2
327,5,1,1,ラインスピリット,牡6,56.0,森一馬,33.5,11.4,6.0,[西] 松永昌博,大澤繁昌,9,9,68.1,34.599999999999994,446,0
328,6,4,5,ソルヴェイグ,牝4,54.0,Ｍ．デム,34.4,3.8,2.0,[西] 鮫島一歩,Ｇ１レーシング,1,1,68.3,33.9,478,18
329,7,3,3,アースソニック,牡8,56.0,古川吉洋,34.0,89.3,11.0,[西] 中竹和也,前田幸治,5,5,68.3,34.3,500,10
330,8,6,8,ダイシンサンダー,牡6,55.0,幸英明,33.6,72.1,10.0,[西] 須貝尚介,大八木信行,10,11,68.3,34.699999999999996,506,-2
331,9,5,6,ブラヴィッシモ,牡5,55.0,フォーリ,34.1,49.7,9.0,[西] 須貝尚介,金子真人ホールディングス,5,5,68.5,34.4,514,12
332,10,2,2,テイエムタイホー,牡8,56.0,池添謙一,33.7,118.4,12.0,[西] 鈴木孝志,竹園正繼,12,12,68.5,34.8,492,-2
333,11,7,10,ネロ,牡6,57.5,浜中俊,34.7,3.0,1.0,[西] 森秀行,西山茂行,2,2,68.6,33.89999999999999,482,4
334,12,8,13,カオスモス,牡7,54.0,武幸四郎,35.1,246.2,13.0,[西] 森秀行,小田吉男,5,7,69.5,34.4,510,12
335,13,8,12,ブランボヌール,牝4,54.0,和田竜二,35.3,7.9,5.0,[西] 中竹和也,前田葉子,5,7,69.7,34.400000000000006,446,0
336,1,1,1,ファインニードル,牡5,57.0,川田将雅,33.9,7.7,4.0,[西] 高橋義忠,Ｈ．Ｈ．シェイク・モハメド,3,2,68.3,34.4,488,18
337,2,4,7,セイウンコウセイ,牡5,58.0,松田大作,34.6,9.9,5.0,[東] 上原博之,西山茂行,1,1,68.6,33.99999999999999,504,6
338,3,2,4,フミノムーン,牡6,55.0,国分優作,33.4,92.6,15.0,[西] 西浦勝一,谷二,15,13,68.7,35.300000000000004,458,4
339,4,7,13,カラクレナイ,牝4,54.0,池添謙一,33.7,7.5,3.0,[西] 松下武士,吉田照哉,11,11,68.7,35.0,498,-2
340,5,7,15,ナックビーナス,牝5,54.0,勝浦正樹,34.3,10.4,6.0,[東] 杉浦宏昭,小松欣也,3,4,68.7,34.400000000000006,524,2
341,6,2,3,グレイトチャーター,牡6,54.0,和田竜二,34.2,30.4,12.0,[西] 鮫島一歩,ノースヒルズ,7,6,68.8,34.599999999999994,506,0
342,7,3,6,セカンドテーブル,牡6,56.0,水口優也,34.2,16.5,7.0,[西] 崎山博樹,山上和良,9,9,69.0,34.8,482,-2
343,8,5,9,キングハート,牡5,56.0,中谷雄太,34.5,26.0,11.0,[東] 星野忍,増田陽一,5,4,69.0,34.5,498,16
344,9,6,12,タマモブリリアン,牝5,52.0,古川吉洋,34.3,213.2,17.0,[西] 南井克巳,タマモ,7,8,69.0,34.7,476,6
345,10,8,17,ロードクエスト,牡5,57.0,三浦皇成,33.9,20.4,10.0,[東] 小島茂之,ロードホースクラブ,15,13,69.1,35.199999999999996,466,2
346,11,1,2,アレスバローズ,牡6,54.0,Ｍ．デム,34.2,4.9,2.0,[西] 角田晃一,猪熊広次,11,11,69.1,34.89999999999999,504,14
347,12,6,11,ユキノアイオロス,セ10,53.0,川島信二,33.7,328.1,18.0,[東] 和田正道,井上基之,18,17,69.1,35.39999999999999,492,4
348,13,7,14,ミッキーラブソング,牡7,56.0,松山弘平,34.5,50.8,13.0,[西] 橋口慎介,野田みづき,9,9,69.3,34.8,466,-2
349,14,3,5,アットザシーサイド,牝5,53.0,四位洋文,34.4,19.4,9.0,[西] 浅見秀一,吉田照哉,13,13,69.6,35.199999999999996,446,4
350,15,5,10,ニシケンモノノフ,牡7,57.5,横山典弘,34.3,19.4,8.0,[西] 庄野靖志,西森鶴,15,18,69.7,35.400000000000006,514,7
351,16,4,8,ダイアナヘイロー,牝5,55.0,武豊,35.4,3.9,1.0,[西] 福島信晴,駒秀,2,2,69.7,34.300000000000004,478,2
352,17,8,18,ナリタスターワン,牡6,55.0,幸英明,35.3,193.8,16.0,[西] 高橋亮,オースミ,5,6,69.8,34.5,476,0
353,18,8,16,ラインミーティア,牡8,57.0,西田雄一,34.6,91.6,14.0,[東] 水野貴広,大澤繁昌,13,13,69.8,35.199999999999996,484,8
